text,label,clean,token_count,sentence_count,tokens,sentences
زین اب نہیں جا سکتا,,زین اب نہیں جا سکتا,5,1,زین | اب | نہیں | جا | سکتا,زین اب نہیں جا سکتا۔
آپ صرف چھوڑ نہیں سکتے,,آپ صرف چھوڑ نہیں سکتے,5,1,آپ | صرف | چھوڑ | نہیں | سکتے,آپ صرف چھوڑ نہیں سکتے۔
میں اسے بری خبر سنانے کا دل نہیں کر رہا تھا۔,,میں اسے بری خبر سنانے کا دل نہیں کر رہا تھا۔,12,1,میں | اسے | بری | خبر | سنانے | کا | دل | نہیں | کر | رہا | تھا | ۔,میں اسے بری خبر سنانے کا دل نہیں کر رہا تھا۔
اس نے ایک ملاح سے شادی کی۔,,اس نے ایک ملاح سے شادی کی۔,8,1,اس | نے | ایک | ملاح | سے | شادی | کی | ۔,اس نے ایک ملاح سے شادی کی۔
میں نے ابھی آپ کو ای میل کیا ہے۔,,میں نے ابھی آپ کو ای میل کیا ہے۔,10,1,میں | نے | ابھی | آپ | کو | ای | میل | کیا | ہے | ۔,میں نے ابھی آپ کو ای میل کیا ہے۔
مجھے لگتا ہے کہ یہ ٹھیک ہو جائے گا,,مجھے لگتا ہے کہ یہ ٹھیک ہو جائے گا,9,1,مجھے | لگتا | ہے | کہ | یہ | ٹھیک | ہو | جائے | گا,مجھے لگتا ہے کہ یہ ٹھیک ہو جائے گا۔
میں طالب علم ہوں۔,,میں طالب علم ہوں۔,5,1,میں | طالب | علم | ہوں | ۔,میں طالب علم ہوں۔
میں آپ پر بھروسہ کر رہا ہوں۔,,میں آپ پر بھروسہ کر رہا ہوں۔,8,1,میں | آپ | پر | بھروسہ | کر | رہا | ہوں | ۔,میں آپ پر بھروسہ کر رہا ہوں۔
زین ایک شرمیلا لڑکا ہے۔,,زین ایک شرمیلا لڑکا ہے۔,6,1,زین | ایک | شرمیلا | لڑکا | ہے | ۔,زین ایک شرمیلا لڑکا ہے۔
میرے خیال میں زین جھوٹ بول رہا ہے۔,,میرے خیال میں زین جھوٹ بول رہا ہے۔,9,1,میرے | خیال | میں | زین | جھوٹ | بول | رہا | ہے | ۔,میرے خیال میں زین جھوٹ بول رہا ہے۔
کیا تم اسے پہچانتے ہو؟,,کیا تم اسے پہچانتے ہو؟,6,1,کیا | تم | اسے | پہچانتے | ہو | ؟,کیا تم اسے پہچانتے ہو؟
زین نے میز صاف کی,,زین نے میز صاف کی,5,1,زین | نے | میز | صاف | کی,زین نے میز صاف کی۔
وہ مجھ پر ہنسے,,وہ مجھ پر ہنسے,4,1,وہ | مجھ | پر | ہنسے,وہ مجھ پر ہنسے۔
آپ غیر معمولی ہیں,,آپ غیر معمولی ہیں,4,1,آپ | غیر | معمولی | ہیں,آپ غیر معمولی ہیں۔
زین کے پاس بندوق ہے۔,,زین کے پاس بندوق ہے۔,6,1,زین | کے | پاس | بندوق | ہے | ۔,زین کے پاس بندوق ہے۔
گائے کو دودھ کی طرح کرو,,گائے کو دودھ کی طرح کرو,6,1,گائے | کو | دودھ | کی | طرح | کرو,گائے کو دودھ کی طرح کرو۔
تم سمجھو گے,,تم سمجھو گے,3,1,تم | سمجھو | گے,تم سمجھو گے۔
مجھے چائے یا کافی پسند نہیں۔,,مجھے چائے یا کافی پسند نہیں۔,7,1,مجھے | چائے | یا | کافی | پسند | نہیں | ۔,مجھے چائے یا کافی پسند نہیں۔
میں نے اسے واقعی سخت مارا۔,,میں نے اسے واقعی سخت مارا۔,7,1,میں | نے | اسے | واقعی | سخت | مارا | ۔,میں نے اسے واقعی سخت مارا۔
مجھے جواب مل گیا ہے۔,,مجھے جواب مل گیا ہے۔,6,1,مجھے | جواب | مل | گیا | ہے | ۔,مجھے جواب مل گیا ہے۔
زین کا وقت بہت اچھا تھا۔,,زین کا وقت بہت اچھا تھا۔,7,1,زین | کا | وقت | بہت | اچھا | تھا | ۔,زین کا وقت بہت اچھا تھا۔
میری چھتری کہاں ہے؟,,میری چھتری کہاں ہے؟,5,1,میری | چھتری | کہاں | ہے | ؟,میری چھتری کہاں ہے؟
میں بہت تھکا ہوا ہوں,,میں بہت تھکا ہوا ہوں,5,1,میں | بہت | تھکا | ہوا | ہوں,میں بہت تھکا ہوا ہوں۔
زین نے یہ کتاب لکھی۔,,زین نے یہ کتاب لکھی۔,6,1,زین | نے | یہ | کتاب | لکھی | ۔,زین نے یہ کتاب لکھی۔
مجھے تصویر ملتی ہے۔,,مجھے تصویر ملتی ہے۔,5,1,مجھے | تصویر | ملتی | ہے | ۔,مجھے تصویر ملتی ہے۔
بجلی کاٹ دو,,بجلی کاٹ دو,3,1,بجلی | کاٹ | دو,بجلی کاٹ دو۔
میرے والد گھر نہیں ہیں۔,,میرے والد گھر نہیں ہیں۔,6,1,میرے | والد | گھر | نہیں | ہیں | ۔,میرے والد گھر نہیں ہیں۔
میں نے اسے کتاب دی۔,,میں نے اسے کتاب دی۔,6,1,میں | نے | اسے | کتاب | دی | ۔,میں نے اسے کتاب دی۔
یہ مفت ہے,,یہ مفت ہے,3,1,یہ | مفت | ہے,یہ مفت ہے۔
کتے گیلے ہیں,,کتے گیلے ہیں,3,1,کتے | گیلے | ہیں,کتے گیلے ہیں۔
میں موت سے بیزار تھا,,میں موت سے بیزار تھا,5,1,میں | موت | سے | بیزار | تھا,میں موت سے بیزار تھا۔
وہ رو رہا ہے,,وہ رو رہا ہے,4,1,وہ | رو | رہا | ہے,وہ رو رہا ہے۔
کیا تم مجھ سے پیار کرتے تھے,,کیا تم مجھ سے پیار کرتے تھے,7,1,کیا | تم | مجھ | سے | پیار | کرتے | تھے,کیا تم مجھ سے پیار کرتے تھے۔
اسے نیچے لے لو,,اسے نیچے لے لو,4,1,اسے | نیچے | لے | لو,اسے نیچے لے لو۔
میں نے اسے نہیں دیکھا,,میں نے اسے نہیں دیکھا,5,1,میں | نے | اسے | نہیں | دیکھا,میں نے اسے نہیں دیکھا۔
کیا آپ ٹی وی دیکھتے ہو,,کیا آپ ٹی وی دیکھتے ہو,6,1,کیا | آپ | ٹی | وی | دیکھتے | ہو,کیا آپ ٹی وی دیکھتے ہو۔
میں ٹام کے ساتھ جا رہا ہوں۔,,میں ٹام کے ساتھ جا رہا ہوں۔,8,1,میں | ٹام | کے | ساتھ | جا | رہا | ہوں | ۔,میں ٹام کے ساتھ جا رہا ہوں۔
زین نے اپنا ارادہ بدلا۔,,زین نے اپنا ارادہ بدلا۔,6,1,زین | نے | اپنا | ارادہ | بدلا | ۔,زین نے اپنا ارادہ بدلا۔
فکر مت کرو,,فکر مت کرو,3,1,فکر | مت | کرو,فکر مت کرو۔
میں صرف صفائی کر رہا ہوں۔,,میں صرف صفائی کر رہا ہوں۔,7,1,میں | صرف | صفائی | کر | رہا | ہوں | ۔,میں صرف صفائی کر رہا ہوں۔
زین عجیب ہے,,زین عجیب ہے,3,1,زین | عجیب | ہے,زین عجیب ہے۔
اس نے چکن پکڑا,,اس نے چکن پکڑا,4,1,اس | نے | چکن | پکڑا,اس نے چکن پکڑا۔
زین شرط ہار گیا۔,,زین شرط ہار گیا۔,5,1,زین | شرط | ہار | گیا | ۔,زین شرط ہار گیا۔
یہ حلوائی باسی چیزیں بیچتا ہے۔,,یہ حلوائی باسی چیزیں بیچتا ہے۔,7,1,یہ | حلوائی | باسی | چیزیں | بیچتا | ہے | ۔,یہ حلوائی باسی چیزیں بیچتا ہے۔
یاد رہے گا,,یاد رہے گا,3,1,یاد | رہے | گا,یاد رہے گا۔
یہ بہت صحت مند ہے,,یہ بہت صحت مند ہے,5,1,یہ | بہت | صحت | مند | ہے,یہ بہت صحت مند ہے۔
کیا میں نے اس کا ذکر کیا؟,,کیا میں نے اس کا ذکر کیا؟,8,1,کیا | میں | نے | اس | کا | ذکر | کیا | ؟,کیا میں نے اس کا ذکر کیا؟
وہ تھکا ہوا لگ رہا ہے,,وہ تھکا ہوا لگ رہا ہے,6,1,وہ | تھکا | ہوا | لگ | رہا | ہے,وہ تھکا ہوا لگ رہا ہے۔
میرے راستے میں کھڑے نہ ہوں,,میرے راستے میں کھڑے نہ ہوں,6,1,میرے | راستے | میں | کھڑے | نہ | ہوں,میرے راستے میں کھڑے نہ ہوں۔
زین نے مریم کو ہلایا,,زین نے مریم کو ہلایا,5,1,زین | نے | مریم | کو | ہلایا,زین نے مریم کو ہلایا۔
آپ کو دھوکہ دیا گیا ہے,,آپ کو دھوکہ دیا گیا ہے,6,1,آپ | کو | دھوکہ | دیا | گیا | ہے,آپ کو دھوکہ دیا گیا ہے۔
زین نے وگ پہنی ہوئی ہے۔,,زین نے وگ پہنی ہوئی ہے۔,7,1,زین | نے | وگ | پہنی | ہوئی | ہے | ۔,زین نے وگ پہنی ہوئی ہے۔
شہر چھوڑ دو,,شہر چھوڑ دو,3,1,شہر | چھوڑ | دو,شہر چھوڑ دو۔
زین یاد آیا,,زین یاد آیا,3,1,زین | یاد | آیا,زین یاد آیا۔
ایک مختصر مضمون لکھیں,,ایک مختصر مضمون لکھیں,4,1,ایک | مختصر | مضمون | لکھیں,ایک مختصر مضمون لکھیں۔
اسے ایک بار پھر پڑھیں,,اسے ایک بار پھر پڑھیں,5,1,اسے | ایک | بار | پھر | پڑھیں,اسے ایک بار پھر پڑھیں۔
اب بھی امید ہے,,اب بھی امید ہے,4,1,اب | بھی | امید | ہے,اب بھی امید ہے۔
یہاں سے دور ہو جاؤ,,یہاں سے دور ہو جاؤ,5,1,یہاں | سے | دور | ہو | جاؤ,یہاں سے دور ہو جاؤ۔
زین نے ڈائری کھولی۔,,زین نے ڈائری کھولی۔,5,1,زین | نے | ڈائری | کھولی | ۔,زین نے ڈائری کھولی۔
کیا تمہارے پاس کوئی پالتو جانور ہے,,کیا تمہارے پاس کوئی پالتو جانور ہے,7,1,کیا | تمہارے | پاس | کوئی | پالتو | جانور | ہے,کیا تمہارے پاس کوئی پالتو جانور ہے۔
یہ سونے کا وقت ہے,,یہ سونے کا وقت ہے,5,1,یہ | سونے | کا | وقت | ہے,یہ سونے کا وقت ہے۔
وہ آس پاس رہتے ہیں,,وہ آس پاس رہتے ہیں,5,1,وہ | آس | پاس | رہتے | ہیں,وہ آس پاس رہتے ہیں۔
میں نے اس کے چہرے پر تھپڑ مارا۔,,میں نے اس کے چہرے پر تھپڑ مارا۔,9,1,میں | نے | اس | کے | چہرے | پر | تھپڑ | مارا | ۔,میں نے اس کے چہرے پر تھپڑ مارا۔
میں باہر انتظار کروں گا۔,,میں باہر انتظار کروں گا۔,6,1,میں | باہر | انتظار | کروں | گا | ۔,میں باہر انتظار کروں گا۔
زین نماز پڑھ رہا ہے,,زین نماز پڑھ رہا ہے,5,1,زین | نماز | پڑھ | رہا | ہے,زین نماز پڑھ رہا ہے۔
وہ غائب ہو گئے,,وہ غائب ہو گئے,4,1,وہ | غائب | ہو | گئے,وہ غائب ہو گئے۔
کیا یہ جرم ہے؟,,کیا یہ جرم ہے؟,5,1,کیا | یہ | جرم | ہے | ؟,کیا یہ جرم ہے؟
کیا وہ گھر پر ہے؟,,کیا وہ گھر پر ہے؟,6,1,کیا | وہ | گھر | پر | ہے | ؟,کیا وہ گھر پر ہے؟
پٹی کو ہٹا دیں,,پٹی کو ہٹا دیں,4,1,پٹی | کو | ہٹا | دیں,پٹی کو ہٹا دیں۔
کیا بچے آپ کو پسند کرتے ہیں؟,,کیا بچے آپ کو پسند کرتے ہیں؟,8,1,کیا | بچے | آپ | کو | پسند | کرتے | ہیں | ؟,کیا بچے آپ کو پسند کرتے ہیں؟
وہ یہ کیسے کرتا ہے,,وہ یہ کیسے کرتا ہے,5,1,وہ | یہ | کیسے | کرتا | ہے,وہ یہ کیسے کرتا ہے۔
اس کی سبز آنکھیں ہیں۔,,اس کی سبز آنکھیں ہیں۔,6,1,اس | کی | سبز | آنکھیں | ہیں | ۔,اس کی سبز آنکھیں ہیں۔
کیا تم چشمہ پہنتے ہو,,کیا تم چشمہ پہنتے ہو,5,1,کیا | تم | چشمہ | پہنتے | ہو,کیا تم چشمہ پہنتے ہو۔
میں تم سے ہمیشہ محبت کروں گا۔,,میں تم سے ہمیشہ محبت کروں گا۔,8,1,میں | تم | سے | ہمیشہ | محبت | کروں | گا | ۔,میں تم سے ہمیشہ محبت کروں گا۔
یہ میری چابیاں نہیں ہیں۔,,یہ میری چابیاں نہیں ہیں۔,6,1,یہ | میری | چابیاں | نہیں | ہیں | ۔,یہ میری چابیاں نہیں ہیں۔
وہ ایک فرشتہ کی طرح لگتا ہے,,وہ ایک فرشتہ کی طرح لگتا ہے,7,1,وہ | ایک | فرشتہ | کی | طرح | لگتا | ہے,وہ ایک فرشتہ کی طرح لگتا ہے۔
سب مر گئے,,سب مر گئے,3,1,سب | مر | گئے,سب مر گئے۔
کیا آپ کو رس پسند ہے؟,,کیا آپ کو رس پسند ہے؟,7,1,کیا | آپ | کو | رس | پسند | ہے | ؟,کیا آپ کو رس پسند ہے؟
کوشش کر رہے تھے,,کوشش کر رہے تھے,4,1,کوشش | کر | رہے | تھے,کوشش کر رہے تھے۔
پکڑ کیا ہے,,پکڑ کیا ہے,3,1,پکڑ | کیا | ہے,پکڑ کیا ہے۔
کیا زین کے پاس بندوق تھی؟,,کیا زین کے پاس بندوق تھی؟,7,1,کیا | زین | کے | پاس | بندوق | تھی | ؟,کیا زین کے پاس بندوق تھی؟
میں یہاں رہنا چاہتا ہوں۔,,میں یہاں رہنا چاہتا ہوں۔,6,1,میں | یہاں | رہنا | چاہتا | ہوں | ۔,میں یہاں رہنا چاہتا ہوں۔
یہ آپ کے بارے میں نہیں ہے,,یہ آپ کے بارے میں نہیں ہے,7,1,یہ | آپ | کے | بارے | میں | نہیں | ہے,یہ آپ کے بارے میں نہیں ہے۔
گھڑی تیز ہے,,گھڑی تیز ہے,3,1,گھڑی | تیز | ہے,گھڑی تیز ہے۔
میں نے آپ کو ایک پیغام چھوڑا ہے۔,,میں نے آپ کو ایک پیغام چھوڑا ہے۔,9,1,میں | نے | آپ | کو | ایک | پیغام | چھوڑا | ہے | ۔,میں نے آپ کو ایک پیغام چھوڑا ہے۔
گھوڑا ایک جانور ہے۔,,گھوڑا ایک جانور ہے۔,5,1,گھوڑا | ایک | جانور | ہے | ۔,گھوڑا ایک جانور ہے۔
زین چکن باہر,,زین چکن باہر,3,1,زین | چکن | باہر,زین چکن باہر۔
یہ کوئی مذاق نہیں ہے,,یہ کوئی مذاق نہیں ہے,5,1,یہ | کوئی | مذاق | نہیں | ہے,یہ کوئی مذاق نہیں ہے۔
میں نے بہت کچھ سیکھا ہے۔,,میں نے بہت کچھ سیکھا ہے۔,7,1,میں | نے | بہت | کچھ | سیکھا | ہے | ۔,میں نے بہت کچھ سیکھا ہے۔
یہ میرے خاندان کے لیے ہے۔,,یہ میرے خاندان کے لیے ہے۔,7,1,یہ | میرے | خاندان | کے | لیے | ہے | ۔,یہ میرے خاندان کے لیے ہے۔
وہ اونٹ پر سوار ہوئی۔,,وہ اونٹ پر سوار ہوئی۔,6,1,وہ | اونٹ | پر | سوار | ہوئی | ۔,وہ اونٹ پر سوار ہوئی۔
یہ سادہ ہے,,یہ سادہ ہے,3,1,یہ | سادہ | ہے,یہ سادہ ہے۔
وہ ٹیم میں ہے,,وہ ٹیم میں ہے,4,1,وہ | ٹیم | میں | ہے,وہ ٹیم میں ہے۔
میرا کتا بڑا ہے۔,,میرا کتا بڑا ہے۔,5,1,میرا | کتا | بڑا | ہے | ۔,میرا کتا بڑا ہے۔
میں وہاں کیسے پہنچوں,,میں وہاں کیسے پہنچوں,4,1,میں | وہاں | کیسے | پہنچوں,میں وہاں کیسے پہنچوں۔
آپ مشہور ہیں,,آپ مشہور ہیں,3,1,آپ | مشہور | ہیں,آپ مشہور ہیں۔
میری طرف مت دیکھو,,میری طرف مت دیکھو,4,1,میری | طرف | مت | دیکھو,میری طرف مت دیکھو۔
وہ اکثر ٹی وی دیکھتا ہے۔,,وہ اکثر ٹی وی دیکھتا ہے۔,7,1,وہ | اکثر | ٹی | وی | دیکھتا | ہے | ۔,وہ اکثر ٹی وی دیکھتا ہے۔
زین ٹی بی سے مر گیا۔,,زین ٹی بی سے مر گیا۔,7,1,زین | ٹی | بی | سے | مر | گیا | ۔,زین ٹی بی سے مر گیا۔
میں نے اپنی بیوی کو چھوڑ دیا۔,,میں نے اپنی بیوی کو چھوڑ دیا۔,8,1,میں | نے | اپنی | بیوی | کو | چھوڑ | دیا | ۔,میں نے اپنی بیوی کو چھوڑ دیا۔
ٹھنڈی رہیں,,ٹھنڈی رہیں,2,1,ٹھنڈی | رہیں,ٹھنڈی رہیں۔
میں ایک نیا کچن چاہتا ہوں۔,,میں ایک نیا کچن چاہتا ہوں۔,7,1,میں | ایک | نیا | کچن | چاہتا | ہوں | ۔,میں ایک نیا کچن چاہتا ہوں۔
یہ فیصلہ کرنا میرے لیے چیلنج تھا۔,,یہ فیصلہ کرنا میرے لیے چیلنج تھا۔,8,1,یہ | فیصلہ | کرنا | میرے | لیے | چیلنج | تھا | ۔,یہ فیصلہ کرنا میرے لیے چیلنج تھا۔
ہم کیوں چل رہے ہیں,,ہم کیوں چل رہے ہیں,5,1,ہم | کیوں | چل | رہے | ہیں,ہم کیوں چل رہے ہیں۔
مبارک ہو!,,مبارک ہو!,3,1,مبارک | ہو | !,مبارک ہو!
مجھے دل کا دورہ پڑا تھا۔,,مجھے دل کا دورہ پڑا تھا۔,7,1,مجھے | دل | کا | دورہ | پڑا | تھا | ۔,مجھے دل کا دورہ پڑا تھا۔
وہ بہت چیختا ہے,,وہ بہت چیختا ہے,4,1,وہ | بہت | چیختا | ہے,وہ بہت چیختا ہے۔
ٹام پر نظر رکھو,,ٹام پر نظر رکھو,4,1,ٹام | پر | نظر | رکھو,ٹام پر نظر رکھو۔
میں نے اپنی عینک کھو دی,,میں نے اپنی عینک کھو دی,6,1,میں | نے | اپنی | عینک | کھو | دی,میں نے اپنی عینک کھو دی۔
شائستہ لیکن مضبوط ہو,,شائستہ لیکن مضبوط ہو,4,1,شائستہ | لیکن | مضبوط | ہو,شائستہ لیکن مضبوط ہو۔
مجھے نہیں ملتا,,مجھے نہیں ملتا,3,1,مجھے | نہیں | ملتا,مجھے نہیں ملتا۔
وہ اپنے خرچے کم کرے گے۔,,وہ اپنے خرچے کم کرے گے۔,7,1,وہ | اپنے | خرچے | کم | کرے | گے | ۔,وہ اپنے خرچے کم کرے گے۔
وہ شخص مر گیا,,وہ شخص مر گیا,4,1,وہ | شخص | مر | گیا,وہ شخص مر گیا۔
اسے کیا کھا رہا ہے,,اسے کیا کھا رہا ہے,5,1,اسے | کیا | کھا | رہا | ہے,اسے کیا کھا رہا ہے۔
میں دوکان پر گیا تھا,,میں دوکان پر گیا تھا,5,1,میں | دوکان | پر | گیا | تھا,میں دوکان پر گیا تھا۔
اس کی سائیکل نیلی ہے۔,,اس کی سائیکل نیلی ہے۔,6,1,اس | کی | سائیکل | نیلی | ہے | ۔,اس کی سائیکل نیلی ہے۔
میں تھوڑا نروس ہوں,,میں تھوڑا نروس ہوں,4,1,میں | تھوڑا | نروس | ہوں,میں تھوڑا نروس ہوں۔
پھول توڑنا منع ہے۔,,پھول توڑنا منع ہے۔,5,1,پھول | توڑنا | منع | ہے | ۔,پھول توڑنا منع ہے۔
اس کی عجیب ہے,,اس کی عجیب ہے,4,1,اس | کی | عجیب | ہے,اس کی عجیب ہے۔
یہ ایک بڑا دن ہو گا,,یہ ایک بڑا دن ہو گا,6,1,یہ | ایک | بڑا | دن | ہو | گا,یہ ایک بڑا دن ہو گا۔
ہم وہی ہیں جو ہم ہیں۔,,ہم وہی ہیں جو ہم ہیں۔,7,2,ہم | وہی | ہیں | جو | ہم | ہیں | ۔,ہم وہی ہیں۔ || جو ہم ہیں۔
یہ ایک حالیہ تصویر ہے؟,,یہ ایک حالیہ تصویر ہے؟,6,1,یہ | ایک | حالیہ | تصویر | ہے | ؟,یہ ایک حالیہ تصویر ہے؟
کیا میرا جواب درست ہے؟,,کیا میرا جواب درست ہے؟,6,1,کیا | میرا | جواب | درست | ہے | ؟,کیا میرا جواب درست ہے؟
میز کے اوپر پڑی پوئی لغت میری ہے۔,,میز کے اوپر پڑی پوئی لغت میری ہے۔,9,1,میز | کے | اوپر | پڑی | پوئی | لغت | میری | ہے | ۔,میز کے اوپر پڑی پوئی لغت میری ہے۔
آپ کی مکھی کھلی ہے,,آپ کی مکھی کھلی ہے,5,1,آپ | کی | مکھی | کھلی | ہے,آپ کی مکھی کھلی ہے۔
یہ دروازہ بند ہے,,یہ دروازہ بند ہے,4,1,یہ | دروازہ | بند | ہے,یہ دروازہ بند ہے۔
میں نے اسے خود بنایا,,میں نے اسے خود بنایا,5,1,میں | نے | اسے | خود | بنایا,میں نے اسے خود بنایا۔
مجھےآئسکریم بہت پسند ہے,,مجھےآئسکریم بہت پسند ہے,4,1,مجھےآئسکریم | بہت | پسند | ہے,مجھےآئسکریم بہت پسند ہے۔
زین نے ایک ہفتہ کی چھٹی لی,,زین نے ایک ہفتہ کی چھٹی لی,7,1,زین | نے | ایک | ہفتہ | کی | چھٹی | لی,زین نے ایک ہفتہ کی چھٹی لی۔
کیا آپ اس کے ساتھ کوئی شراب پسند کریں گے؟,,کیا آپ اس کے ساتھ کوئی شراب پسند کریں گے؟,11,1,کیا | آپ | اس | کے | ساتھ | کوئی | شراب | پسند | کریں | گے | ؟,کیا آپ اس کے ساتھ کوئی شراب پسند کریں گے؟
آپ اکیلے کیوں ہیں؟,,آپ اکیلے کیوں ہیں؟,5,1,آپ | اکیلے | کیوں | ہیں | ؟,آپ اکیلے کیوں ہیں؟
بس مت چھوڑیں,,بس مت چھوڑیں,3,1,بس | مت | چھوڑیں,بس مت چھوڑیں۔
میں نے مچھلی کا آرڈر نہیں دیا۔,,میں نے مچھلی کا آرڈر نہیں دیا۔,8,1,میں | نے | مچھلی | کا | آرڈر | نہیں | دیا | ۔,میں نے مچھلی کا آرڈر نہیں دیا۔
وہ فالج کا شکار ہے۔,,وہ فالج کا شکار ہے۔,6,1,وہ | فالج | کا | شکار | ہے | ۔,وہ فالج کا شکار ہے۔
میں نہیں سمجھتا,,میں نہیں سمجھتا,3,1,میں | نہیں | سمجھتا,میں نہیں سمجھتا۔
یہ سڑک کہاں تک جاتی ہے۔,,یہ سڑک کہاں تک جاتی ہے۔,7,1,یہ | سڑک | کہاں | تک | جاتی | ہے | ۔,یہ سڑک کہاں تک جاتی ہے۔
چلنا اچھا ہے,,چلنا اچھا ہے,3,1,چلنا | اچھا | ہے,چلنا اچھا ہے۔
تم نے مجھ سے کبھی نہیں پوچھا,,تم نے مجھ سے کبھی نہیں پوچھا,7,1,تم | نے | مجھ | سے | کبھی | نہیں | پوچھا,تم نے مجھ سے کبھی نہیں پوچھا۔
وہ خاموش ہیں,,وہ خاموش ہیں,3,1,وہ | خاموش | ہیں,وہ خاموش ہیں۔
وہ کبھی امید نہیں کھوتا,,وہ کبھی امید نہیں کھوتا,5,1,وہ | کبھی | امید | نہیں | کھوتا,وہ کبھی امید نہیں کھوتا۔
مجھے تندوری چکن بہت پسند ہے۔,,مجھے تندوری چکن بہت پسند ہے۔,7,1,مجھے | تندوری | چکن | بہت | پسند | ہے | ۔,مجھے تندوری چکن بہت پسند ہے۔
زین نے رحم کی درخواست کی۔,,زین نے رحم کی درخواست کی۔,7,1,زین | نے | رحم | کی | درخواست | کی | ۔,زین نے رحم کی درخواست کی۔
کیا آپ کے پاس کوئی نعرہ ہے؟,,کیا آپ کے پاس کوئی نعرہ ہے؟,8,1,کیا | آپ | کے | پاس | کوئی | نعرہ | ہے | ؟,کیا آپ کے پاس کوئی نعرہ ہے؟
بلکل.,,بلکل,1,1,بلکل,بلکل۔
میں زین کی ماں ہوں۔,,میں زین کی ماں ہوں۔,6,1,میں | زین | کی | ماں | ہوں | ۔,میں زین کی ماں ہوں۔
پنکھے کی باری,,پنکھے کی باری,3,1,پنکھے | کی | باری,پنکھے کی باری۔
مجھے ڈر ہے کہ وہ بیمار ہے۔,,مجھے ڈر ہے کہ وہ بیمار ہے۔,8,1,مجھے | ڈر | ہے | کہ | وہ | بیمار | ہے | ۔,مجھے ڈر ہے کہ وہ بیمار ہے۔
آپ کے یہاں کتنے منحصر ہیں؟,,آپ کے یہاں کتنے منحصر ہیں؟,7,1,آپ | کے | یہاں | کتنے | منحصر | ہیں | ؟,آپ کے یہاں کتنے منحصر ہیں؟
تم نے مجھے کہیں کا نہیں چھوڑا,,تم نے مجھے کہیں کا نہیں چھوڑا,7,1,تم | نے | مجھے | کہیں | کا | نہیں | چھوڑا,تم نے مجھے کہیں کا نہیں چھوڑا۔
یہ میری کتاب ہے,,یہ میری کتاب ہے,4,1,یہ | میری | کتاب | ہے,یہ میری کتاب ہے۔
حیران نہیں ہوئے,,حیران نہیں ہوئے,3,1,حیران | نہیں | ہوئے,حیران نہیں ہوئے۔
یہ صرف ایک خواب ہے,,یہ صرف ایک خواب ہے,5,1,یہ | صرف | ایک | خواب | ہے,یہ صرف ایک خواب ہے۔
زین خوش ہو جائے گا,,زین خوش ہو جائے گا,5,1,زین | خوش | ہو | جائے | گا,زین خوش ہو جائے گا۔
یہ ناممکن تھا,,یہ ناممکن تھا,3,1,یہ | ناممکن | تھا,یہ ناممکن تھا۔
آئیے سشی کھاتے ہیں۔,,آئیے سشی کھاتے ہیں۔,5,1,آئیے | سشی | کھاتے | ہیں | ۔,آئیے سشی کھاتے ہیں۔
کیا یہ تمہاری چیزیں ہیں؟,,کیا یہ تمہاری چیزیں ہیں؟,6,1,کیا | یہ | تمہاری | چیزیں | ہیں | ؟,کیا یہ تمہاری چیزیں ہیں؟
وہ شاعر نہیں ہو سکتا,,وہ شاعر نہیں ہو سکتا,5,1,وہ | شاعر | نہیں | ہو | سکتا,وہ شاعر نہیں ہو سکتا۔
میں نے کسی کو نہیں مارا۔,,میں نے کسی کو نہیں مارا۔,7,1,میں | نے | کسی | کو | نہیں | مارا | ۔,میں نے کسی کو نہیں مارا۔
ہمیں اس کی ضرورت ہے۔,,ہمیں اس کی ضرورت ہے۔,6,1,ہمیں | اس | کی | ضرورت | ہے | ۔,ہمیں اس کی ضرورت ہے۔
مجھے گھر رہنا پڑا,,مجھے گھر رہنا پڑا,4,1,مجھے | گھر | رہنا | پڑا,مجھے گھر رہنا پڑا۔
میں اس وقت کچھ اور قبول نہیں کر رہا ہوں۔,,میں اس وقت کچھ اور قبول نہیں کر رہا ہوں۔,11,1,میں | اس | وقت | کچھ | اور | قبول | نہیں | کر | رہا | ہوں | ۔,میں اس وقت کچھ اور قبول نہیں کر رہا ہوں۔
آپ قابل رحم ہیں۔,,آپ قابل رحم ہیں۔,5,1,آپ | قابل | رحم | ہیں | ۔,آپ قابل رحم ہیں۔
میں نے کیا,,میں نے کیا,3,1,میں | نے | کیا,میں نے کیا۔
میری بہنیں ہیں۔,,میری بہنیں ہیں۔,4,1,میری | بہنیں | ہیں | ۔,میری بہنیں ہیں۔
زین کو نئے جوتے کی ضرورت ہے۔,,زین کو نئے جوتے کی ضرورت ہے۔,8,1,زین | کو | نئے | جوتے | کی | ضرورت | ہے | ۔,زین کو نئے جوتے کی ضرورت ہے۔
ہم نے آپ کو معاف کر دیا,,ہم نے آپ کو معاف کر دیا,7,1,ہم | نے | آپ | کو | معاف | کر | دیا,ہم نے آپ کو معاف کر دیا۔
آپ نے ایک بالی کھو دی۔,,آپ نے ایک بالی کھو دی۔,7,1,آپ | نے | ایک | بالی | کھو | دی | ۔,آپ نے ایک بالی کھو دی۔
میں یہاں سب کو جانتا ہوں۔,,میں یہاں سب کو جانتا ہوں۔,7,1,میں | یہاں | سب | کو | جانتا | ہوں | ۔,میں یہاں سب کو جانتا ہوں۔
